STR;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D6S1043;D7S820;D8S1179;F13A01;F13B;FESFPS;FGA;LPL;Penta_C;Penta_D;Penta_E;SE33;TH01;TPOX;vWA
15.3;;;;;;;;0.0582;;;;;;;;;;;;;;;;;;;;;
15.4;;;;;;;;;;;;;;;;;;;;;;;;;0.0014;;;;
16.0;;0.1330;0.0222;;;0.1468;0.0568;0.1357;;0.3823;0.0374;0.0014;0.2382;;0.0042;;0.0332;0.0069;;;;;;0.0028;0.0512;0.0402;;;0.2008
16.2;;;;;;0.0014;0.0152;;;;;;;;;;;;;;;;;;;0.0014;;;
16.3;;;;;;;;0.0609;;;;;;;;;;;;;;;;;;;;;
17.0;;0.0277;0.1274;;;0.1385;0.0069;0.0471;;0.0748;0.1856;;0.2105;;0.0609;;0.0014;;;;;;;0.0014;0.0485;0.0623;;;0.2839
17.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.2;;;;;;;0.0014;;;;;;;;;;;;;;;;;;;;;;
17.3;;;0.0208;;;;;0.1330;;;;;;;;;;;;;;;;;;0.0014;;;
18.0;;0.0014;0.1717;;;0.0776;;0.0055;;0.0055;0.0734;;0.1510;;0.0886;;;;;;0.0249;;;;0.0332;0.0720;;;0.2022
18.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.2;;;;;;;0.0014;;;;;;;;;;;;;;;;;;;;;;
18.3;;;0.0249;;;;;0.0499;;;;;;;;;;;;;;;;;;0.0014;;;
19.0;;0.0028;0.1247;;;0.0402;;;;;0.1205;;0.0166;;0.0983;;;;;;0.0499;;;;0.0152;0.0720;;;0.1039
19.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0042;;;
19.3;;;0.0042;;;;;0.0152;;;;;;;;;;;;;;;;;;;;;
19.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.0;;;0.1108;;;0.0180;;;;;0.1565;;0.0014;;0.0319;;;;;;0.1233;;;;0.0097;0.0582;;;0.0069
20.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0097;;;
20.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.0;;;0.1288;;;0.0097;;;;;0.0374;;;;0.0097;;;;;;0.1787;;;;0.0028;0.0249;;;0.0014
21.2;;;;;;;;;;;;;;;;;;;;;0.0055;;;;;0.0235;;;
21.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.0;;;0.0956;;;0.0069;;;;;0.0346;;;;0.0014;;;;;;0.2050;;;;0.0014;0.0139;;;
22.2;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;0.0374;;;
22.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.0;;;0.0693;;;;;;;;0.1053;;;;;;;;;;0.1524;;;;;0.0028;;;
23.2;;;;;;;;;;;;;;;;;;;;;0.0028;;;;;0.0360;;;
23.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.0;;;0.0471;;;;;;;;0.1150;;;;;;;;;;0.1343;;;;0.0014;0.0014;;;
24.2;;;;;;;;;;;;;;;;;;;;;0.0014;;;;;0.0222;;;
24.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.0;;;0.0166;;;;;;;;0.1025;;;;;;;;;;0.0789;;;;;;;;
25.2;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;0.0416;;;
26.0;;;0.0028;;;;;;;;0.0305;;;;;;;;;;0.0263;;;;;;;;
26.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0416;;;
27.0;;;0.0014;;;;;;0.0222;;;;;;;;;;;;0.0042;;;;;;;;
27.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0942;;;
27.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.0;;;;;;;;;0.1593;;;;;;;;;;;;;;;;;;;;
28.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0762;;;
28.3;;;;;;;;;;;;;;;;;;;;;;;;;;0.0014;;;
29.0;;;;;;;;;0.2022;;;;;;;;;;;;;;;;;;;;
29.2;;;;;;;;;0.0028;;;;;;;;;;;;;;;;;0.0554;;;
29.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.0;;;;;;;;;0.2825;;;;;;;;;;;;;;;;;;;;
30.2;;;;;;;;;0.0291;;;;;;;;;;;;;;;;;0.0568;;;
30.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.0;;;;;;;;;0.0720;;;;;;;;;;;;;;;;;0.0028;;;
31.2;;;;;;;;;0.0983;;;;;;;;;;;;;;;;;0.0235;;;
32.0;;;;;;;;;0.0055;;;;;;;;;;;;;;;;;0.0014;;;
32.2;;;;;;;;;0.0900;;;;;;;;;;;;;;;;;0.0125;;;
33.0;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;0.0014;;;
33.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33.2;;;;;;;;;0.0263;;;;;;;;;;;;;;;;;0.0042;;;
34.0;;;;;;;;;;;;;;;;;;;;;;;;;;0.0083;;;
34.2;;;;;;;;;0.0042;;;;;;;;;;;;;;;;;0.0014;;;
35.0;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;;;;
36.0;;;;;;;;;0.0014;;;;;;;;;;;;;;;;;;;;
37.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hobs;0.7341;0.7645;0.8975;0.7618;0.7645;0.8560;0.7673;0.9252;0.8227;0.7535;0.8698;0.7867;0.7562;0.7064;0.7978;0.8310;0.7839;0.7590;0.7008;0.6731;0.8670;0.7175;0.7701;0.8587;0.8920;0.9501;0.7424;0.6537;0.8061
PI;0.1285;0.0989;0.0237;0.0777;0.0983;0.0305;0.0838;0.0211;0.0512;0.1239;0.0276;0.0884;0.0758;0.1486;0.0513;0.0628;0.0617;0.1165;0.1288;0.1445;0.0399;0.1510;0.1029;0.0588;0.0243;0.0079;0.0931;0.1811;0.0660
PPE;0.4708;0.5346;0.7794;0.5877;0.5436;0.7481;0.5698;0.7957;0.6661;0.4888;0.7606;0.5616;0.5842;0.4503;0.6609;0.6330;0.6302;0.5035;0.4699;0.4332;0.7173;0.4403;0.5407;0.6509;0.7830;0.8954;0.5476;0.3988;0.6206
HWE;0.8706;0.6522;0.8859;0.1028;0.1647;0.1988;0.9663;0.8772;0.6072;0.9797;0.5097;0.7125;0.3803;0.7578;0.0272;0.5050;0.8675;0.8813;0.8313;0.8566;0.0441;0.9722;0.0213;0.1491;0.4988;0.2478;0.2253;0.5509;0.4328
