STR;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D6S1043;D7S820;D8S1179;F13A01;F13B;FESFPS;FGA;LPL;Penta_C;Penta_D;Penta_E;SE33;TH01;TPOX;vWA
25.2;;;;;;;;;;;;;;;;;;;;;0.0015;;;;;0.0307;;;
26.0;;;;;;;;;0.0015;;0.0146;;;;0.0015;;;;;;0.0702;;;;;0.0015;;;
26.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0629;;;
27.0;;;;;;;;;0.0746;;0.0044;;;;;;;;;;0.0234;;;;;;;;
27.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0424;;;
27.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.0;;;;;;;;;0.2456;;;;;;;;;;;;0.0146;;;;;;;;
28.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0453;;;
28.3;;;;;;;;;;;;;;;;;;;;;;;;;;0.0015;;;
29.0;;;;;;;;;0.2047;;;;;;;;;;;;0.0058;;;;;;;;
29.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0234;;;
29.3;;;;;;;;;0.0015;;;;;;;;;;;;;;;;;;;;
30.0;;;;;;;;;0.1696;;;;;;;;;;;;0.0015;;;;;;;;
30.2;;;;;;;;;0.0175;;;;;;;;;;;;0.0015;;;;;0.0161;;;
30.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.0;;;;;;;;;0.0789;;;;;;;;;;;;;;;;;0.0015;;;
31.2;;;;;;;;;0.0512;;;;;;;;;;;;0.0015;;;;;0.0161;;;
32.0;;;;;;;;;0.0088;;;;;;;;;;;;;;;;;;;;
32.2;;;;;;;;;0.0614;;;;;;;;;;;;;;;;;0.0044;;;
33.0;;;;;;;;;0.0044;;;;;;;;;;;;;;;;;;;;
33.1;;;;;;;;;0.0029;;;;;;;;;;;;;;;;;;;;
33.2;;;;;;;;;0.0351;;;;;;;;;;;;;;;;;0.0029;;;
34.0;;;;;;;;;0.0058;;;;;;;;;;;;;;;;;0.0029;;;
34.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.0;;;;;;;;;0.0219;;;;;;;;;;;;;;;;;;;;
36.0;;;;;;;;;0.0088;;;;;;;;;;;;;;;;;0.0015;;;
37.0;;;;;;;;;0.0029;;;;;;;;;;;;;;;;;;;;
38.0;;;;;;;;;0.0015;;;;;;;;;;;;;;;;;;;;
39.0;;;;;;;;;0.0015;;;;;;;;;;;;;;;;;;;;
43.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hobs;0.7895;0.8216;0.8626;0.7047;0.7895;0.8538;0.8889;0.8713;0.8392;0.8041;0.9006;0.7895;0.7632;0.7281;0.8860;0.7719;0.7953;0.8216;0.7719;0.7690;0.8772;0.7573;0.8129;0.8684;0.9035;0.9269;0.7632;0.7595;0.8158
PI;0.0827;0.0693;0.0373;0.1342;0.0733;0.0280;0.0401;0.0338;0.0435;0.0552;0.0229;0.1051;0.1090;0.0974;0.0296;0.0889;0.0660;0.0637;0.0968;0.0847;0.0318;0.1028;0.0652;0.0268;0.0200;0.0108;0.1050;0.0879;0.0623
PPE;0.5724;0.6138;0.7214;0.4687;0.6018;0.7555;0.7167;0.7356;0.7028;0.6524;0.7832;0.5471;0.5158;0.5310;0.7554;0.5615;0.6186;0.6334;0.5424;0.5705;0.7457;0.5347;0.6368;0.7607;0.8069;0.8606;0.5259;0.5543;0.6283
HWE;0.9734;0.5478;0.2306;0.4413;0.0875;0.8266;0.4372;0.1013;0.2025;0.2738;0.9331;0.051875;0.9097;0.6428;0.4438;0.5644;0.6175;0.3141;0.9197;0.6750;0.3225;0.5141;0.3803;0.3994;0.3972;0.9322;0.7741;0.8472;0.7872
